id,description,exemple 1,exemple 2,catégorie,étudiant,equipe sem1
ui-ux-design,Étude de l'interface utilisateur et de l'expérience utilisateur.,Exemple d'une mauvaise interface utilisateur.,,Interactif,DaphneG,4
distorsions-refractions,Jouer avec la lumière et les formes.,Gros plan d'une goutte d'eau reflétant une fleur.,Distorsion d'une rue animée à travers une boule de cristal.,Conceptuel & Expérimental,DaphneG,4
images-ui-ux,Explorer comment les images guident l'expérience utilisateur.,Capture d'écran d'une application mobile originale.,Wireframe d'un site web.,Interaction,DominicR,7
photo-animaliere,Observation du comportement et de la beauté des animaux.,Un lion chassant dans la savane.,Un colibri en vol près d'une fleur.,Nature & Faune,DominicR,7
mouvements-en-plein-action,Capture de l'énergie et de l'adrénaline.,Skieur en train d'effectuer un saut audacieux.,Boxeur donnant un coup puissant.,Sports & Action,DominicR,7
visualisation-vr-ar,Étude de l'immersion visuelle dans des environnements numériques.,Capture d'une scène de jeu VR.,Image d'une application AR utilisée dans un musée.,Interaction,DominicR,7
cyberspace,Exploration visuelle du monde numérique.,Paysage de données avec des montagnes de code.,Avatar numérique dans un environnement virtuel.,Futuriste & Sci-fi,EmilieF,3
cartographie,Transmettre des informations géographiques.,Image satellite d'une région.,Plan de métro stylisé d'une grande ville.,Fonctionnel,EmilieF,3
diagrammes-scientifiques,Appréhender la complexité des informations par l'illustration.,Schéma de la cellule animale.,Diagramme du cycle de l'eau.,Éducatif,EmilieF,3
tutoriels-visuels,Transmettre des informations étape par étape.,Diagramme de montage d'un meuble.,Tutoriel sur le tricot avec images.,Fonctionnel,EmilieF,3
infographies,Transformer des données en visuels.,Graphique montrant l'évolution des ventes.,Carte thermique d'activité sur un site web.,Analytique,EmmanuelT,7
storyboard,Planification de scènes pour films ou animations.,Séquence d'images montrant une scène d'action.,Séquence illustrant une transformation magique.,Narratif,EmmanuelT,7
ambiance-et-atmosphere,Évoquer des sentiments spécifiques.,Photo d'un paysage brumeux évoquant le mystère.,Image d'une fête foraine vibrant de joie.,Emotionnel,EmmanuelT,7
mises-en-scene-surrealistes,Création d'images qui défient la réalité et l'imagination.,"Une main tenant une pomme, d'où émane un jet de fumée.",Un homme marchant sur un escalier en spirale flottant dans le ciel.,Composition & Style,EmmanuelT,7
reportage-de-guerre,Capture des réalités d'un conflit.,Soldats se préparant au combat.,Civils fuyant une zone de guerre.,Documentaire & Journalisme,FlorenceL,5
collages-surrealistes,Fusion d'éléments disparates pour créer une nouvelle signification.,Paysage urbain fusionné avec un désert.,Portrait humain combiné avec des éléments floraux.,Esthétique,FlorenceL,5
artefacts-visuels-accidentels,Explorations visuelles nées d'erreurs ou de défauts.,Image glitchée due à un bug.,Photo endommagée par une exposition chimique.,Conceptuel,FlorenceL,5
patterns-repetitions,Recherche de motifs dans l'environnement.,Lignes parallèles d'un champ agricole vu d'en haut.,Répétition des fenêtres dans un gratte-ciel.,Abstrait & Formes,FlorenceL,5
villes-la-nuit,Explorer les lumières et l'ambiance des métropoles après le coucher du soleil.,Tokyo illuminé de néons.,Silhouette de Paris avec la tour Eiffel illuminée.,Urbanisme & Architecture,JeanChristopheZ,3
socio-numerique,Comment les sociétés s'adaptent à l'ère numérique.,"Personnes dans un café, toutes sur leurs smartphones.",Enfants jouant dans une aire de jeux avec des casques VR.,Société & Identité,JeanChristopheZ,3
souvenirs,Capturer des moments importants de la vie.,Une famille réunie pour un anniversaire.,Des amis riant autour d'un feu de camp.,Artefacts Secondaires,JeanChristopheZ,3
portraits-culturels,Explorer la diversité des cultures à travers les visages.,Portrait d'une vieille femme avec des tatouages tribaux.,Enfant en costume traditionnel lors d'une fête.,Société & Culture,JeanChristopheZ,3
visualisation-de-donnees,Mettre en évidence des tendances ou des schémas.,Diagramme à secteurs de dépenses gouvernementales.,Graphique en bâtons des émissions de CO2.,Analytique,JustinL,5
lifestyle-urbain,Documenter la vie et le style des jeunes générations en milieu urbain.,Groupe d'amis au café en plein air.,Jeune femme faisant du shopping dans une ruelle vintage.,Mode & Lifestyle,JustinL,5
dualite,Exploration des oppositions et des contrastes.,Un papillon noir et blanc posé sur une main.,Jour et nuit capturés dans une seule image.,Conceptuel & Symbolisme,JustinL,5
visuels-holographiques,Étudier la 3D et la perception de la profondeur.,Hologramme d'un produit en vente.,Hologramme interactif d'un personnage fictif.,Technologique,JustinL,5
paysages-dystopiques,Présentation d'avenirs alternatifs ou de réalités parallèles.,Une ville post-apocalyptique.,Une forêt avec des arbres métalliques.,Narratives & Commentaires,LauraAnnG,7
icones-historiques,Capturer des figures et des moments marquants.,Portrait de Martin Luther King Jr.,Photo des premiers pas de l'homme sur la lune.,Historique & Rétro,LauraAnnG,7
cartographie-historique,Explorer l'évolution des territoires et des sociétés.,Carte de l'Europe au Moyen Âge.,Carte des migrations humaines préhistoriques.,Éducatif,LauraAnnG,7
infographies,Présentation visuelle de l'information pour faciliter la compréhension.,Graphique montrant la croissance démographique.,Schéma illustrant le cycle de l'eau.,Visées Fonctionnelles,LauraAnnG,7
paysages-urbains-nocturnes,Exploration des villes illuminées et de la vie nocturne.,Skyline d'une métropole avec des lumières étincelantes.,Rue éclairée par des néons colorés.,Urbanisme & Architecture,LaurenceD,2
photos-macro,Observation de détails fins souvent non visibles à l'œil nu.,Rosée sur une toile d'araignée.,Détail des facettes d'un œil d'insecte.,Techniques de Capture,LaurenceD,2
haute-couture,Photographier la beauté et la créativité de la mode de luxe.,Mannequin portant une robe extravagante.,Détail des accessoires et bijoux élégants.,Mode & Lifestyle,LaurenceD,2
epoques-revolues,Explorer les modes et les styles des époques passées.,Photo d'une femme dans une robe des années 1920.,Voitures classiques des années 1950 alignées.,Historique & Rétro,LaurenceD,2
tutoriels-visuels,Instruction étape par étape.,Photo d'une personne montrant comment nouer une cravate.,Illustration sur la préparation d'un plat particulier.,Didactique,MariaB,1
images-futuristes,Imaginer des mondes ou des scénarios futurs.,Ville futuriste avec voitures volantes.,Vision d'un monde post-apocalyptique.,Temporel,MariaB,1
art-algorithmique,Art généré par ordinateur basé sur des données ou des algorithmes.,Image fractale colorée.,Art basé sur des modèles d'intelligence artificielle.,Abstrait,MariaB,1
ecotech,Technologie au service de l'environnement.,Drones plantant des arbres.,Éoliennes dans un champ fleuri.,Écologie & Environnement,MariaB,1
affiches-de-protestation,Étudier le pouvoir visuel pour influencer le changement social.,Affiche historique de protestation.,Affiche moderne d'un mouvement social.,Sociétal,MaudeL,4
foules-et-interactions,Étudier la dynamique humaine en groupe.,Foule dense dans une gare.,Fans excités lors d'un concert.,Émotions & Humains,MaudeL,4
metamorphose,Transformation et évolution visualisées.,Une chenille et un papillon sur une branche.,Un paysage urbain superposé à une forêt.,Conceptuel & Symbolisme,MaudeL,4
phenomenes-naturels,Documenter des événements rares et impressionnants.,Éruption volcanique.,Aurores boréales dans le ciel nocturne.,Nature & Environnement,MaudeL,4
anthropocene,Impact humain sur la planète.,Glacier avec des traces visibles de la fonte.,Forêt avec des zones clairement déboisées.,Écologie & Environnement,MaximC,2
techno-utopie,Positivité et idéalisme pour l'avenir technologique.,Ville alimentée par des énergies propres.,Communauté vivant harmonieusement avec la technologie.,Futur & Prospective,MaximC,2
identites-hybrides,Fusion culturelle à l'ère de la mondialisation.,Portrait fusionnant deux tenues traditionnelles.,Paysage urbain avec des éléments de deux villes différentes.,Société & Identité,MaximC,2
danse-en-mouvement,Mettre en évidence l'expressivité du corps humain.,Danseuse de ballet en plein saut.,Danseurs de rue en pleine performance.,Art & Performance,MaximC,2
brutalisme,Étude des structures massives et de la philosophie architecturale.,Un grand bâtiment en béton sans ornements.,Intérieur spartiate d'un musée brutaliste.,Urbanisme & Architecture,MedericP,3
montages-surrealistes,Fusion de réalités pour créer des mondes fantastiques.,Une échelle montant vers une lune géante.,Un océan remplissant une pièce de maison.,Surréalisme & Rêverie,MedericP,3
ruines-et-reliques,Exploration de l'histoire à travers des structures abandonnées.,Ruines d'un ancien temple.,Intérieur d'une église délabrée.,Tradition & Histoire,MedericP,3
mouvements-sociaux,Documenter des mouvements sociaux en temps réel.,Manifestants avec des pancartes dans une rue.,Personne en train de faire un discours passionné.,Société & Culture,MedericP,3
visualisation-musicale,Transformation du son en image.,Visualisation d'un morceau classique.,Visualisation d'une chanson pop moderne.,Abstrait,MeryemB,2
moments-decisifs,Capture de moments clés dans des événements sportifs.,Un joueur marquant un but.,Une gymnaste en plein saut.,Sport & Action,MeryemB,2
art-de-rue-graffiti,Documenter l'art éphémère urbain.,Mur couvert de graffiti coloré.,Silhouette d'un artiste en train de peindre la nuit.,Culture Pop & Modernité,MeryemB,2
objets-en-mouvement,Capture d'objets en action.,Goutte d'eau créant une ondulation.,Pomme tombant dans un bol d'eau.,Nature Morte & Objet,MeryemB,2
art-de-rue,Documenter l'expression artistique urbaine.,Graffiti coloré sur un mur en brique.,Un artiste de rue réalisant une fresque.,Art & Performance,NoemieP,6
terres-sauvages,Capturer la beauté des lieux préservés.,Paysage désertique avec dunes de sable.,Forêt dense enveloppée de brume.,Nature & Exploration,NoemieP,6
icones-pop,Représentation des figures emblématiques de la culture pop.,Portrait stylisé d'un musicien célèbre.,Une actrice emblématique dans une scène mémorable.,Culture Pop & Modernité,NoemieP,6
clair-obscur,Jeu d'ombres et de lumières pour créer des effets dramatiques.,"Un visage partiellement éclairé, le reste dans l'ombre.",Une danseuse avec un spot lumineux focalisé.,Lumière & Couleur,NoemieP,6
contrastes-culturels,Mise en évidence des différences et des similarités entre les cultures.,Un moine bouddhiste utilisant un smartphone.,"Une femme vêtue d'un kimono, tenant un hamburger.",Narratives & Commentaires,NoemiL,5
photosjournalisme,Capture d'événements actuels pour informer le public.,Une manifestation.,Un sauvetage pendant une inondation.,Visées Fonctionnelles,NoemiL,5
innovations-technologiques,Documenter la progression technologique.,Robot en action dans une usine.,Gros plan d'une puce électronique.,Sciences & Technologie,NoemiL,5
formes-et-motifs,Recherche de motifs répétitifs ou formes intrigantes.,Ombres projetées sur un escalier en colimaçon.,Reflets ondulants dans une eau calme.,Abstraction,NoemiL,5
mise-en-scene-des-medias,Critique des médias à travers la mise en scène.,Faux décor d'un bulletin d'information.,"Personne posant pour un ""candid"" Instagram.",Médias & Influence,RachelP,6
schemas-explicatifs,Comprendre et transmettre des informations complexes.,Schéma d'un moteur de voiture.,Illustration des étapes de la photosynthèse.,Didactique,RachelP,6
art-abstrait,Comprendre les émotions et les idées sans représentations directes.,Peinture abstraite aux formes géométriques.,Photo abstraite exploitant les ombres et lumières.,Conceptuel,RachelP,6
publicites-conceptuelles,Vendre un produit ou une idée.,Publicité pour une nouvelle boisson énergisante.,Campagne visuelle pour un parfum.,Publicitaire,RachelP,6
portrait-de-rue,Capture de la diversité et de l'unicité des individus dans un contexte urbain.,Un vieil homme jouant aux échecs dans un parc.,Un musicien de rue jouant du saxophone.,Expression Humaine,SantiagoB,3
realite-augmentee,Explorer comment le numérique superpose le réel.,Personne interagissant avec des hologrammes.,Ville avec des informations digitales superposées.,Technologie & Digital,SantiagoB,3
histoires-humaines,Raconter des histoires personnelles à travers des images.,Un pêcheur préparant son filet au lever du soleil.,Une famille se rassemblant autour d'un repas.,Documentaire & Journalisme,SantiagoB,3
abstraction-coloree,Mise en évidence des couleurs comme principal élément de l'image.,"Gouttes d'huile flottant sur l'eau, créant un arc-en-ciel.",Graffiti vibrant sur un mur de brique.,Abstraction,SantiagoB,3
tilt-shift,Création d'un effet miniature sur des scènes réelles.,Une ville qui semble être un modèle réduit.,Un parc rempli de personnes semblant être des figurines.,Techniques Expérimentales,SarahL,5
photojournalisme-de-guerre,Comprendre le pouvoir de l'image dans les zones de conflit.,Photo d'un enfant dans une zone de guerre.,Photo d'un soldat partageant de la nourriture.,Thématique,SarahL,5
sursaturation,Utilisation de couleurs vives pour créer des images vibrantes.,Une forêt automnale aux couleurs presque fluorescentes.,Un marché de fruits avec des couleurs extrêmement vives.,Lumière & Couleur,SarahL,5
post-apocalypse,Vision du futur après des événements majeurs.,Ville abandonnée envahie par la nature.,Personnes en tenues futuristes dans un désert.,Futur & Prospective,SarahL,5
rites-et-rituels,Capturer les traditions ancestrales encore pratiquées.,Danse rituelle autour d'un feu sacré.,Prêtre effectuant un rituel dans un temple ancien.,Tradition & Histoire,SashaB,1
double-exposition,Technique pour superposer deux images.,Portrait fusionné avec une forêt.,Silhouette de ville combinée avec des vagues océaniques.,Conceptuel & Expérimental,SashaB,1
paysages-oniriques,Capture de lieux semblant sortir de rêves.,Forêt avec des arbres aux couleurs arc-en-ciel.,Ciel nocturne avec des constellations brillamment colorées.,Surréalisme & Rêverie,SashaB,1
guides-de-conception,Établir des normes et des attentes.,Maquette d'un produit.,Schéma de conception d'une application.,Fonctionnel,SashaB,1
chronophotographie,Étudier le mouvement à travers des séquences d'images.,Séquence montrant le galop d'un cheval.,Séquence d'un danseur en mouvement.,Temporel,ThierryS,7
nature-morte,Exploration artistique d'objets inanimés.,Fruit et vase sur une table.,Objets personnels disposés artistiquement.,Thématique,ThierryS,7
infographies-publicitaire,Résumer des informations complexes visuellement.,Infographie sur les effets du changement climatique.,Infographie sur la démographie mondiale.,Publicitaire,ThierryS,7
comparatifs-avant-apres,Évaluer visuellement les changements ou les évolutions.,Rénovation de maison avant et après.,Effet d'un produit cosmétique avant et après utilisation.,Esthétique,ThierryS,7
desintegration-numerique,L'intersection de la réalité et du pixel.,Personne se transformant en pixels.,Paysage urbain fragmenté numériquement.,Technologie & Digital,ThomasXavierM,6
portraits-ethniques,Célébrer la diversité et explorer les traditions vestimentaires.,Femme Maasaï avec parures traditionnelles.,Moine bouddhiste en méditation.,Culturel,ThomasXavierM,6
time-lapse,Observation du changement au fil du temps.,Nuages en mouvement rapide dans le ciel.,Floraison d'une fleur de cactus.,Historique & Temporel,ThomasXavierM,6
publicites-vintage,Étude des tendances publicitaires à travers le temps.,Publicité des années 50 pour une voiture.,Publicité des années 80 pour une boisson gazeuse.,Publicitaire,ThomasXavierM,6
macro-monde-microscopique,Zoom sur les détails souvent ignorés.,Gros plan d'un flocon de neige.,La texture détaillée d'un insecte.,Sciences & Technologie,TomH,4
faune-en-action,Capturer des animaux dans leur habitat naturel.,Lion chassant sa proie dans la savane.,Oiseau en plein vol avec un poisson dans son bec.,Animaux & Nature,TomH,4
portraits-sociaux,Mise en évidence de divers problèmes sociaux à travers des portraits.,Un enfant tenant une pancarte lors d'une manifestation pour l'éducation.,Portrait d'un sans-abri avec son chien.,Environnement & Social,TomH,4
infrarouge,Capture d'images avec lumière invisible à l'œil nu.,Paysage transformé en tons éthérés roses et blancs.,Portrait avec des yeux pénétrants et une peau claire.,Technique & Expérimentation,TomH,4
objets-du-quotidien,Observation des détails et beauté dans le quotidien.,Une vieille montre.,Rayon de lumière sur une tasse de thé fumante.,Nature Morte & Objet,UgoJ,4
portraits-emotionnels,Capturer des expressions intenses.,Gros plan d'une personne en larmes.,Visage d'un enfant éclatant de rire.,Émotions & Humains,UgoJ,4
mises-en-abyme,Imagerie qui se répète infiniment à l'intérieur d'elle-même.,Image d'un miroir reflétant un miroir.,Artiste peignant une image de lui-même peignant.,Conceptuel,UgoJ,4
carnet-de-voyage,Narration visuelle d'un voyage.,Tente sous les étoiles dans le désert.,Première vue d'une ville après une longue randonnée.,Voyage & Découverte,UgoJ,4
